BOM,,,,,,,,,
JLCPCB BOM,,,,,,,,,
Index,Item,Price,Note,,,,,,
1,PCB from JLCPCB,2.10 $US,,,,,,,
2,Stencil,7.00 $US,,,,,,,
3,JLCPCB Shipping,26.55 $US,"Cheapest possible. (Global Standard Direct Line), possible to reduce in half if ordered with other project",,,,,,
LCSC BOM,,,,,,,,,
Mrf#,Mfr.,Order Qty.,Unit Price(USD),Ext.Price(USD),LCSC#,Package,Mult,Description,Product Link
TYPE-C 16PIN 2MD(073),SHOU HAN,20,0.0600,1.20,C2765186,SMD,20,"USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount, Right Angle",https://www.lcsc.com/product-detail/C2765186.html
ESP32-C6-MINI-1-N4,ESPRESSIF,2,4.0436,8.09,C5736265,SMD-53P,1,2.4GHz ESP32-C6FH4 On-board PCB Antenna -99.2dBm SMD-53P RF Transceiver Modules and Modems RoHS,https://www.lcsc.com/product-detail/C5736265.html
BME680,Bosch,1,9.8543,9.85,C125972,LGA-8,1,30Kpa~1.1bar Temperature Sensor LGA-8 Specialized Sensors RoHS,https://www.lcsc.com/product-detail/C125972.html
SKRKAEE020,ALPSALPINE,5,0.1298,0.65,C115357,"SMD,3.9x2.9mm",5,Tactile Switch SPST 2mm 3.9mm x 2.9mm Surface Mount,https://www.lcsc.com/product-detail/C115357.html
TSL25911FN,AMS,3,1.8060,5.42,C176812,DFN-6(2x2.2),1,"I2C 2.7V~3.6V DFN-6(2x2.2) Ambient Light, IR, UV Sensors RoHS",https://www.lcsc.com/product-detail/C176812.html
MCP73831T-2ACI/OT,MICROCHIP,2,0.7279,1.46,C424093,SOT-23-5,1,3.75V~6V Lithium Battery 1 550mA SOT-23-5 Battery Chargers ICs RoHS,https://www.lcsc.com/product-detail/C424093.html
CL05B104KP5VPNC,Samsung Electro-Mechanics,100,0.0049,0.49,C16193311,0402,100,100nF ±10% 10V Ceramic Capacitor X7R 0402,https://www.lcsc.com/product-detail/C16193311.html
CL05A475MO5NUNC,Samsung Electro-Mechanics,20,0.0090,0.18,C318563,0402,20,4.7uF ±20% 16V Ceramic Capacitor X5R 0402,https://www.lcsc.com/product-detail/C318563.html
CL05A106MP6NUN8,Samsung Electro-Mechanics,50,0.0118,0.59,C3902158,0402,50,10uF ±20% 10V Ceramic Capacitor X5R 0402,https://www.lcsc.com/product-detail/C3902158.html
RC0402JR-0710KL,YAGEO,100,0.0007,0.07,C60489,0402,100,62.5mW 10kΩ 50V Thick Film Resistor ±100ppm/℃ ±5% 0402 Chip Resistor - Surface Mount RoHS,https://www.lcsc.com/product-detail/C60489.html
RC0402JR-074K7L,YAGEO,100,0.0007,0.07,C105870,0402,100,62.5mW 4.7kΩ 50V Thick Film Resistor ±100ppm/℃ ±5% 0402 Chip Resistor - Surface Mount RoHS,https://www.lcsc.com/product-detail/C105870.html
RC0402FR-0722RL,YAGEO,100,0.0007,0.07,C114765,0402,100,22Ω 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,https://www.lcsc.com/product-detail/C114765.html
RC0402JR-072K4L,YAGEO,100,0.0007,0.07,C137889,0402,100,62.5mW 2.4kΩ 50V Thick Film Resistor ±100ppm/℃ ±5% 0402 Chip Resistor - Surface Mount RoHS,https://www.lcsc.com/product-detail/C137889.html
RC0402FR-075K1L,YAGEO,100,0.0008,0.08,C105872,0402,100,5.1kΩ 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,https://www.lcsc.com/product-detail/C105872.html
CL05A105KO5NNNC,Samsung Electro-Mechanics,100,0.0023,0.23,C29266,0402,100,1uF ±10% 16V Ceramic Capacitor X5R 0402,https://www.lcsc.com/product-detail/C29266.html
WS2812B-2020,Worldsemi,10,0.0829,0.83,C965555,"SMD,2.2x2mm",5,"SMD,2.2x2mm LED Addressable, Specialty RoHS",https://www.lcsc.com/product-detail/C965555.html
CL05A105KP5NNNC,Samsung Electro-Mechanics,100,0.0018,0.18,C14445,0402,100,1uF ±10% 10V Ceramic Capacitor X5R 0402,https://www.lcsc.com/product-detail/C14445.html
AP2112K-3.3TRG1,TECH PUBLIC,5,0.0936,0.47,C23380830,SOT-23-5,5,"5.5V Positive Fixed 3.3V SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",https://www.lcsc.com/product-detail/C23380830.html
EST TOTAL :$30.10 + $9.50 shipping (GDSL) - $5.10 discounts = $34.50 ,,,,,,,,,
Battery,https://www.amazon.fr/-/en/Rechargeable-Battery-802540-800mAh-Quadcopter/dp/B0FR41PF1D/ref=sr_1_8?crid=360NY723D2WFC&dib=eyJ2IjoiMSJ9.-YikNnbfj2ObeVF-ZzlTV8jszJ3m1L_lAesd2OeYL5eE4LOCMsL5hOVAZHhIa-L5CjR1kHdBja8o1llEEUmJskIStRln86LlcntzsWE3iQY0koIGSDlysGys_HhC1nN5YeIBk_w656GsopLKTUD3h5fESM3KTp07BjlxMb65CaZsO5S0kq0FzjHxdPz-lQcs9MSTdrV3qERxnkxeFDnWKOuQRRh-ERlu-bXds2CdT6rVUErGkSpAtxS-9vE2voZ3GJMxlMxoSvfuDUG1Ot8wI0hVvPIoxdG17mv4X4KOoRM.wp704j_w5suIu0Cu9_KygrSn2TixC2LtVn3lzgpEgeE&dib_tag=se&keywords=3.7v%2Blipo%2Bbattery%2B802540&qid=1768659993&sprefix=3.7v%2Blipo%2Bbattery%2B802540%2Caps%2C214&sr=8-8&th=1,1,6.52,6.52,,,,,
TOTAL = 34.5+26.55+7+2.1+6.52=$76.67,,,,,,,,,