Index,Manufacturer Part Number,Manufacturer Name,Description,Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Reference Designator
1,ESP32-C6-MINI-1-N4,Espressif Systems,RF TXRX MOD BT WIFI PCB TH SMD,2,Cut Tape (CT),1965-ESP32-C6-MINI-1-H4CT-ND,4.51,9.02,U4
2,SKRKAEE020,Alps Alpine,SWITCH TACTILE SPST-NO 0.05A 12V,4,Cut Tape (CT),4809-SKRKAEE020CT-ND,0.41000,1.64,"SW1, SW2"
3,BME680,Bosch Sensortec,SENSOR GAS/HUM/PRES/TEMP I2C SPI,2,Cut Tape (CT),828-1077-1-ND,8.65000,17.30,U2
4,TSL25911FN,ams-OSRAM USA INC.,SENSOR OPT AMBIENT 6 WFDFN,2,Cut Tape (CT),TSL25911FNCT-ND,1.67000,3.34,U1
5,4684,Adafruit Industries LLC,ADDRESS LED DISCRETE RGB,1,Bag,1528-4684-ND,3.95000,3.95,"D1, D2, D3, D4, D5"
6,USB4105-GF-A,GCT,CONN RCP USB2.0 TYP C 16P SMD RA,2,Cut Tape (CT),2073-USB4105-GF-ACT-ND,0.78000,1.56,P1
7,AP2112K-3.3TRG1,Diodes Incorporated,IC REG LINEAR 3.3V 600MA SOT-25,2,Cut Tape (CT),AP2112K-3.3TRG1DICT-ND,0.22000,0.44,U3
8,MCP73831T-2ACI/OT,Microchip Technology,IC BATT CNTL LI-ION 1CEL SOT23-5,2,Cut Tape (CT),MCP73831T-2ACI/OTCT-ND,0.76000,1.52,U5
9,CL05B104KP5VPNC,Samsung Electro-Mechanics,CAP CER 100NF 10V X7R 0402,20,Cut Tape (CT),1276-CL05B104KP5VPNCCT-ND,0.03700,0.74,"C1, C8, C10, C12, C13, C14, C15, C16, C2, C5"
10,CL05A475MO5NUNC,Samsung Electro-Mechanics,CAP CER 4.7UF 16V X5R 0402,4,Cut Tape (CT),1276-6836-1-ND,0.08000,0.32,"C11, C17"
11,CL05A106MP6NUN8,Samsung Electro-Mechanics,CAP CER 10UF 10V X5R 0402,4,Cut Tape (CT),1276-CL05A106MP6NUN8CT-ND,0.12000,0.48,
12,RC0402JR-0710KL,YAGEO,RES 10K OHM 5% 1/16W 0402,20,Cut Tape (CT),311-10KJRCT-ND,0.00600,0.12,
13,RC0402JR-074K7L,YAGEO,RES 4.7K OHM 5% 1/16W 0402,10,Cut Tape (CT),311-4.7KJRCT-ND,0.00300,0.03,
14,RC0402FR-0722RL,YAGEO,RES 22 OHM 1% 1/16W 0402,10,Cut Tape (CT),311-22.0LRCT-ND,0.00700,0.07,
15,RC0402JR-072K4L,YAGEO,RES 2.4K OHM 5% 1/16W 0402,2,Cut Tape (CT),311-2.4KJRCT-ND,0.10000,0.20,
16,RC0402FR-075K1L,YAGEO,RES 5.1K OHM 1% 1/16W 0402,10,Cut Tape (CT),311-5.10KLRCT-ND,0.00800,0.08,
17,CL05A105KO5NNNC,Samsung Electro-Mechanics,CAP CER 1UF 16V X5R 0402,10,Cut Tape (CT),1276-1067-1-ND,0.00600,0.06,
18,CL05A226MQ5N6J8,Samsung Electro-Mechanics,CAP CER 22UF 6.3V X5R 0402,2,Cut Tape (CT),1276-7090-1-ND,0.13000,0.26,